State,Dem_or_rep,avg_hesitant,avg_strongly_hesitant,percent_population_dead
MT,"Red",25.1385714667184,17.083035554204667,0.2080
WY,"Red",21.77608697310738,15.872174263000488,0.1659
AK,"Red",21.738620889597925,15.690690172129663,0.2679
AR,"Red",21.212266998291014,13.990133387247722,0.1359
KY,"Red",19.584916464487712,12.942416675885518,0.1491
OK,"Red",19.404545499132826,13.487532355568625,0.1478
ID,"Red",19.202272631905295,12.569318056106567,0.1507
LA,"Red",18.971874862909317,11.699531316757202,0.0909
MS,"Red",18.253170571676115,12.542439042068109,0.1115
AL,"Red",17.350746225954882,13.24089549904439,0.1871
GA,"Blue",16.181509293850112,10.311949648947087,0.1512
AZ,"Blue",15.923999786376953,12.135333379109701,0.1943
WI,"Blue",15.294444481531778,9.110972305138906,0.0810
KS,"Red",15.164761924743653,9.312857091994513,0.1230
MO,"Red",15.022782508186673,9.039999986731488,0.2009
OH,"Red",14.565681858496232,8.794204543937337,0.2517
FL,"Red",14.521194045223407,9.720746317906166,0.2799
SC,"Red",14.328695711882219,8.063695627710093,0.1028
TN,"Red",13.838841980382016,8.726105439035516,0.6138
ND,"Red",13.6520754436277,9.331132259009019,2.8406
NC,"Red",13.591300010681152,10.494699993133544,0.1894
NV,"Blue",13.242352653952207,7.152353034299963,0.8146
IN,"Red",13.146521692690643,8.268152081448099,0.0324
IA,"Red",12.626464689620818,7.5881817509429625,0.0689
TX,"Red",11.981102357699177,8.003267731253557,0.2170
PA,"Blue",11.885671672536366,7.880447786245773,0.1885
UT,"Red",11.724482667857203,7.217241418772731,0.0393
OR,"Blue",11.268888844384087,8.50027769141727,0.2639
SD,"Red",11.257424267855557,8.15484849611918,1.6307
NH,"Blue",10.353999805450439,6.790000009536743,0.1839
WV,"Red",10.145272844487971,7.762000031904741,0.2638
MI,"Blue",9.963132542299936,6.131445792784174,0.1463
IL,"Blue",9.608529455521527,5.922745073542876,0.1958
ME,"Blue",9.565624952316284,7.856250166893005,0.2218
NE,"Red",8.678817067095029,5.350537597492177,0.1574
NM,"Blue",7.822424339525627,4.170000083518751,0.0776
CO,"Blue",7.82203122228384,4.727500047534704,0.1194
WA,"Blue",7.791281993572529,5.6658974305177345,0.2003
MN,"Blue",7.788620751479576,4.196436871057269,0.2312
MD,"Blue",7.601666669050853,4.025416721900304,0.1190
CA,"Blue",7.2274137694260165,3.5806896296040764,0.0989
NY,"Blue",7.178548420629194,5.045322606640477,0.6969
RI,"Blue",6.6420001029968265,4.975999927520752,0.3490
VA,"Blue",6.311052664778287,4.330827057809758,0.6268
HI,"Blue",5.95,3.1739999771118166,0.1319
DE,"Blue",5.9433333079020185,3.4833333492279053,0.2220
CT,"Blue",5.698749899864197,3.1512500047683716,0.2799
NJ,"Blue",4.9695238045283725,3.371428580511184,0.4991
MA,"Blue",4.62785712310246,3.368571400642395,0.3099
VT,"Blue",4.0264285291944235,2.167142833982195,0.1478
